TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold
1409,12,84,174,0.9428231089934485,0.6744186046511628,0.9915552427867699,0.9354838709677419,0.7837837837837838,0.8329869237189663,0.8754196887347195,0.9173526668085037,0.8250772475566421,"CNN(untrained)+RF, V=100 [E1 as published]",0
1412,9,77,181,0.9487790351399643,0.7015503875968992,0.9936664320900774,0.9526315789473684,0.8080357142857142,0.8476084098434884,0.8892412248404515,0.9348981773944542,0.8678852086981195,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",0
1409,12,60,198,0.9571173317450864,0.7674418604651163,0.9915552427867699,0.9428571428571428,0.8461538461538461,0.879498551625943,0.9106201756720789,0.942299614312445,0.8806574372268587,"CNN+BiLSTM(trained)+sent+RF, V=100",0
1419,2,19,239,0.9874925550923168,0.9263565891472868,0.9985925404644617,0.991701244813278,0.9579158316633267,0.9624745648058742,0.9752853030299844,0.9892081130768265,0.9766091520834193,"CNN(trained)+RF, V=5000",0
1419,2,19,239,0.9874925550923168,0.9263565891472868,0.9985925404644617,0.991701244813278,0.9579158316633267,0.9624745648058742,0.9752853030299844,0.9868200688455012,0.97264627469907,"CNN(trained)+sent+RF, V=5000",0
1415,6,21,237,0.9839189994044074,0.9186046511627907,0.995777621393385,0.9753086419753086,0.9461077844311376,0.9571911362780878,0.9683286559537557,0.9867723352372224,0.9728277811667085,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",0
1418,3,33,225,0.9785586658725431,0.872093023255814,0.9978888106966924,0.9868421052631579,0.925925925925926,0.9349909169762531,0.956695553492211,0.9813238848065289,0.9604258670646842,TF-IDF + logistic regression [reference],0
1408,13,104,154,0.9303156640857654,0.5968992248062015,0.9908515130190007,0.9221556886227545,0.7247058823529411,0.793875368912601,0.8424074928300676,0.901655128771637,0.7900121886896452,"CNN(untrained)+RF, V=100 [E1 as published]",1
1403,18,87,171,0.9374627754615843,0.6627906976744186,0.9873328641801549,0.9047619047619048,0.7651006711409396,0.8250617809272867,0.8645152960651452,0.9223456022344785,0.8296641148352991,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",1
1403,18,69,189,0.9481834425253127,0.7325581395348837,0.9873328641801549,0.9130434782608695,0.8129032258064516,0.8599455018575193,0.8914153183992506,0.9347631594738939,0.8554450189155023,"CNN+BiLSTM(trained)+sent+RF, V=100",1
1416,5,30,228,0.9791542584871947,0.8837209302325582,0.9964813511611541,0.9785407725321889,0.9287169042769858,0.9401011406968561,0.9582545107363303,0.9762982177634485,0.9552394103755015,"CNN(trained)+RF, V=5000",1
1412,9,29,229,0.97736748064324,0.8875968992248062,0.9936664320900774,0.9621848739495799,0.9233870967741936,0.9406316656574418,0.9550548342012128,0.9801578209471438,0.9592063391683217,"CNN(trained)+sent+RF, V=5000",1
1416,5,29,229,0.9797498511018463,0.8875968992248062,0.9964813511611541,0.9786324786324786,0.9308943089430894,0.9420391251929802,0.9595155424687534,0.978158464668947,0.9570669847669326,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",1
1411,10,39,219,0.9708159618820726,0.8488372093023255,0.9929627023223082,0.9563318777292577,0.8993839835728953,0.9208999558123169,0.9411583798045597,0.9713871113802377,0.9420733964849567,TF-IDF + logistic regression [reference],1
1402,19,90,168,0.935080405002978,0.6511627906976745,0.9866291344123856,0.8983957219251337,0.7550561797752808,0.81889596255503,0.8588188554214543,0.9237285130571876,0.8158341290160134,"CNN(untrained)+RF, V=100 [E1 as published]",2
1406,15,84,174,0.9410363311494937,0.6744186046511628,0.9894440534834623,0.9206349206349206,0.7785234899328859,0.8319313290673125,0.8722572791471368,0.938448194033026,0.8585150678965006,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",2
1402,19,60,198,0.9529481834425253,0.7674418604651163,0.9866291344123856,0.9124423963133641,0.8336842105263158,0.877035497438751,0.9031410993665225,0.9377390089957395,0.8753400750988011,"CNN+BiLSTM(trained)+sent+RF, V=100",2
1417,4,15,243,0.98868374032162,0.9418604651162791,0.9971850809289233,0.9838056680161943,0.9623762376237623,0.9695227730226013,0.9778582905609173,0.986911444609921,0.9723195656596151,"CNN(trained)+RF, V=5000",2
1414,7,16,242,0.9863013698630136,0.937984496124031,0.9950738916256158,0.9718875502008032,0.9546351084812623,0.9665291938748234,0.9732838818449805,0.9922548811024009,0.980050963384201,"CNN(trained)+sent+RF, V=5000",2
1414,7,18,240,0.9851101846337106,0.9302325581395349,0.9950738916256158,0.97165991902834,0.9504950495049505,0.9626532248825753,0.9708661717906806,0.9941369490859696,0.9807680941951116,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",2
1414,7,24,234,0.9815366289458011,0.9069767441860465,0.9950738916256158,0.970954356846473,0.937875751503006,0.9510253179058311,0.9635163997109293,0.9837842113589621,0.9645729430464002,TF-IDF + logistic regression [reference],2
1417,4,104,154,0.9356759976176295,0.5968992248062015,0.9971850809289233,0.9746835443037974,0.7403846153846153,0.7970421528675624,0.8518374470532866,0.9230152365677627,0.8286740485801919,"CNN(untrained)+RF, V=100 [E1 as published]",3
1415,6,86,172,0.9452054794520548,0.6666666666666666,0.995777621393385,0.9662921348314607,0.7889908256880734,0.8312221440300258,0.8787527708180272,0.9278649711689005,0.8447457906141257,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",3
1416,5,69,189,0.9559261465157832,0.7325581395348837,0.9964813511611541,0.9742268041237113,0.8362831858407079,0.8645197453480189,0.9054093148749307,0.9379040308986466,0.8713468511775656,"CNN+BiLSTM(trained)+sent+RF, V=100",3
1403,18,26,232,0.9737939249553306,0.8992248062015504,0.9873328641801549,0.928,0.9133858267716536,0.9432788351908526,0.9489736151402128,0.9692895602507242,0.9388613199224017,"CNN(trained)+RF, V=5000",3
1406,15,26,232,0.9755807027992853,0.8992248062015504,0.9894440534834623,0.9392712550607287,0.9188118811881187,0.9443344298425064,0.9522205217367162,0.9703301529112045,0.9470836732310237,"CNN(trained)+sent+RF, V=5000",3
1409,12,28,230,0.9761762954139369,0.8914728682170543,0.9915552427867699,0.9504132231404959,0.9200000000000002,0.9415140555019121,0.953002099370189,0.975219438216345,0.9495609654391935,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",3
1412,9,43,215,0.9690291840381179,0.8333333333333334,0.9936664320900774,0.9598214285714286,0.8921161825726143,0.9134998827117053,0.937017757489367,0.9775406553960799,0.9542483033716717,TF-IDF + logistic regression [reference],3
1408,14,67,190,0.9517569982132221,0.7392996108949417,0.9901547116736991,0.9313725490196079,0.824295010845987,0.8647271612843204,0.8981675261340739,0.954462121087743,0.8805809566456786,"CNN(untrained)+RF, V=100 [E1 as published]",4
1409,13,57,200,0.9583085169743896,0.7782101167315175,0.990857946554149,0.9389671361502347,0.8510638297872339,0.8845340316428333,0.9134128013202099,0.9573284188981376,0.905961459657038,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",4
1407,15,45,212,0.9642644431209053,0.8249027237354085,0.989451476793249,0.933920704845815,0.8760330578512396,0.9071771002643287,0.9275781155644507,0.9626656159188297,0.9172070675236407,"CNN+BiLSTM(trained)+sent+RF, V=100",4
1419,3,22,235,0.9851101846337106,0.914396887159533,0.9978902953586498,0.9873949579831933,0.9494949494949495,0.9561435912590914,0.9703814251491514,0.9819553213263502,0.9693177122666826,"CNN(trained)+RF, V=5000",4
1417,5,22,235,0.9839189994044074,0.914396887159533,0.9964838255977496,0.9791666666666666,0.9456740442655935,0.9554403563786413,0.9681183922830938,0.9898797112632507,0.9787910915084399,"CNN(trained)+sent+RF, V=5000",4
