,accuracy,accuracy,sensitivity,sensitivity,specificity,specificity,precision,precision,f1,f1,macro_recall,macro_recall,macro_f1,macro_f1,auroc,auroc,ap,ap
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,,,,,
"CNN(trained)+RF, V=5000",0.9845741512805241,0.004978733114585541,0.9185443247971525,0.0194983792599134,0.9965519220928588,0.00340672331784698,0.9799207174591915,0.019269359794038463,0.948140678809762,0.016628100185973056,0.9575481234450056,0.010596127716633888,0.9695399821415123,0.009776702783167697,0.9807621376620302,0.006349153292282646,0.9635643543147954,0.011860314325623997
"CNN(trained)+sent+RF, V=5000",0.9843954734961287,0.004637300399652643,0.9193195185956021,0.017781788524632455,0.996200156186438,0.002876879008075633,0.9778049882105183,0.016592726330029464,0.9476070349173964,0.015576846237769025,0.9577598373910201,0.00983069999928638,0.9692197243378222,0.009149922482275854,0.9828139311925138,0.008399234281845771,0.9662402714745919,0.012296988710969833
"CNN(untrained)+RF, V=100 [E1 as published]",0.9391899940440739,0.006987891861715096,0.6513407534763068,0.049721421953432036,0.9914158825177095,0.003411692664035515,0.9332667153968774,0.024785497404126826,0.765970463802848,0.03286019353851862,0.8213783179970082,0.024189616082394873,0.8655096931867743,0.01834375265373727,0.9255997526545388,0.014531214716333334,0.8297714267442654,0.02544405032155344
"CNN+BiLSTM(trained)+sent+RF, V=100",0.9559261465157831,0.0050537709197371,0.7673031098241486,0.03258385399911807,0.9901493174019208,0.002910395876582403,0.9342991373339959,0.01862286295908103,0.8421627376381465,0.019946336172968447,0.8787262136130346,0.016004856582159097,0.9082740381743323,0.011405252032224132,0.9402703897171254,0.009812765148901592,0.8801311244898079,0.018581479711868926
"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",0.9837998808814771,0.003571349108083207,0.9177721473169849,0.01813273114634629,0.9957781162807041,0.001625385106076926,0.975280580470056,0.009502144820086713,0.9455852427364352,0.012262466760455849,0.9567751317988445,0.00942062839239252,0.9680342108546703,0.007175627427312423,0.9837062635946048,0.007144580837893532,0.9666753654629072,0.010661095835828971
"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",0.9459797498511019,0.00634087837357566,0.6967137212318644,0.03695230922765996,0.991204664609915,0.0027202981374022496,0.9350939520329874,0.01989648545871013,0.7980192475712135,0.026225327465128137,0.8439591929208896,0.018634382577907803,0.883418873549435,0.014902010802370724,0.937616823441564,0.012440067011893288,0.8619998326609111,0.0232750614535146
TF-IDF + logistic regression [reference],0.9771292435973795,0.004476419924198145,0.8762691159171115,0.02288904491978729,0.9954261029306238,0.0019699297090536054,0.9720450946505277,0.012161216931533799,0.9215638573859884,0.015936474565881344,0.9358476094238677,0.011881093262191002,0.9540882214355164,0.009268686842171381,0.9812825487487178,0.004586946935925226,0.959692492735422,0.007932557016238797
