model,auroc,auroc_sd,ap,ap_sd,sens05,sens05_sd,spec05,spec05_sd,prec05,prec05_sd,s90,s90_sd,sp90,sp90_sd,s80,s80_sd,sp80,sp80_sd,cm
"Random Forest, 500 trees (recommended)",0.8927752136141986,0.02850513486232892,0.6250428285270717,0.0637501434376744,0.3095588235294118,0.14147699155266474,0.981600074682599,0.016788044635589434,0.7694444444444446,0.16677465637269487,0.7106617647058824,0.10717330413128072,0.895509708737864,0.02242404927781799,0.8029411764705883,0.0851552565843843,0.7959297983569829,0.024786728122694047,"[np.float64(507.5), np.float64(9.5), np.float64(56.0), np.float64(25.0)]"
"Random Forest, 50 trees (as published)",0.8870406642632782,0.03051728412005041,0.6215699723138665,0.08465581335580412,0.34705882352941175,0.1829078500842785,0.9758121732636298,0.021095697619685532,0.7014574314574314,0.21952037470516406,0.6669117647058823,0.09259063018553527,0.9013536221060491,0.02076922951974661,0.7970588235294118,0.07913289208518462,0.7987957430918595,0.029050316722382927,"[np.float64(504.5), np.float64(12.5), np.float64(53.0), np.float64(28.0)]"
HistGradientBoosting,0.8629380910084347,0.037369828762192726,0.5991864379973417,0.06872004907070837,0.6363970588235294,0.11624018377856707,0.8626680358476475,0.0240427441274922,0.42031145790741,0.038582086574611964,0.5867647058823529,0.10813796597281011,0.9052371172516803,0.0293858157689788,0.7102941176470587,0.0972826197851626,0.8114917849141149,0.037184787601437994,"[np.float64(446.0), np.float64(71.0), np.float64(29.5), np.float64(51.5)]"
CNN+BiLSTM(trained)+clinical+RF,0.8750099187826736,0.029485143935232924,0.6648881062114078,0.06964715534237893,0.3827205882352941,0.15390956694186433,0.9883775205377148,0.010033266802513504,0.8426373626373627,0.11523156732814228,0.6613970588235294,0.10902662222638368,0.8887415982076176,0.03493759242103298,0.8022058823529411,0.05815076885556103,0.8036594473487677,0.03631567496181705,"[np.float64(511.0), np.float64(6.0), np.float64(50.0), np.float64(31.0)]"
