name,auroc,auroc_sd,ap,s90,s80,brier
"D1  RF, 500 trees (recommended)",0.8927752136141986,0.02850513486232892,0.6250428285270717,0.7036764705882353,0.8088235294117647,0.07837192635854341
D2  RF + engineered cell ratios,0.8905220196975355,0.029469319010608442,0.625374855419599,0.6919117647058824,0.8275735294117647,0.07998399501400562
"D3  RF, isotonic-calibrated",0.8933886336928347,0.029034190864837165,0.636236672654361,0.6977941176470589,0.8158088235294118,0.07915875284749374
D4  CNN+BiLSTM(trained)+clinical+RF,0.8750099187826736,0.029485143935232924,0.6648881062114078,0.6610294117647059,0.8139705882352942,0.0747063505602241
