TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold,cohort,rule
102,2,9,7,0.9083333333333333,0.4375,0.9807692307692307,0.7777777777777778,0.56,0.7091346153846154,0.7544186046511627,0.8719951923076924,0.6380658085912261,RF on clinical features only [baseline],0,complete-case,@0.5
103,1,12,4,0.8916666666666667,0.25,0.9903846153846154,0.8,0.38095238095238093,0.6201923076923077,0.6607958251793868,0.8719951923076924,0.6380658085912261,RF on clinical features only [baseline],0,complete-case,@tuned
103,1,8,8,0.925,0.5,0.9903846153846154,0.8888888888888888,0.64,0.7451923076923077,0.7990697674418605,0.8686899038461539,0.7317611446864313,CNN(untrained)+clinical+RF,0,complete-case,@0.5
103,1,12,4,0.8916666666666667,0.25,0.9903846153846154,0.8,0.38095238095238093,0.6201923076923077,0.6607958251793868,0.8686899038461539,0.7317611446864313,CNN(untrained)+clinical+RF,0,complete-case,@tuned
103,1,9,7,0.9166666666666666,0.4375,0.9903846153846154,0.875,0.5833333333333334,0.7139423076923077,0.7685185185185185,0.8707932692307693,0.7264327389760936,CNN+BiLSTM(untrained)+clinical+RF [as published],0,complete-case,@0.5
103,1,10,6,0.9083333333333333,0.375,0.9903846153846154,0.8571428571428571,0.5217391304347825,0.6826923076923077,0.7355239430975755,0.8707932692307693,0.7264327389760936,CNN+BiLSTM(untrained)+clinical+RF [as published],0,complete-case,@tuned
102,2,5,11,0.9416666666666667,0.6875,0.9807692307692307,0.8461538461538461,0.7586206896551724,0.8341346153846154,0.8627226671024677,0.881610576923077,0.7461048327812491,CNN(trained)+clinical+RF,0,complete-case,@0.5
103,1,6,10,0.9416666666666667,0.625,0.9903846153846154,0.9090909090909091,0.7407407407407406,0.8076923076923077,0.8539384454877412,0.881610576923077,0.7461048327812491,CNN(trained)+clinical+RF,0,complete-case,@tuned
103,1,5,11,0.95,0.6875,0.9903846153846154,0.9166666666666666,0.7857142857142857,0.8389423076923077,0.8787061994609164,0.8948317307692308,0.7539375082728956,CNN+BiLSTM(trained)+clinical+RF [proposed],0,complete-case,@0.5
103,1,7,9,0.9333333333333333,0.5625,0.9903846153846154,0.9,0.6923076923076923,0.7764423076923077,0.8274622573687993,0.8948317307692308,0.7539375082728956,CNN+BiLSTM(trained)+clinical+RF [proposed],0,complete-case,@tuned
103,1,11,5,0.9,0.3125,0.9903846153846154,0.8333333333333334,0.45454545454545453,0.6514423076923077,0.6997497914929108,0.8734975961538463,0.6264148522224917,RF on clinical features only [baseline],1,complete-case,@0.5
