model,auroc,auroc_sd,ap,ap_sd,sens05,sens05_sd,spec05,spec05_sd,prec05,prec05_sd,s90,s90_sd,sp90,sp90_sd,s80,s80_sd,sp80,sp80_sd,cm
Random Forest + median imputation,0.6171654762551801,0.01775512097887189,0.14347949262184323,0.009409511883091767,0.5806708494208495,0.06298439412574887,0.5677383305032522,0.060907883885891946,0.12906258924344233,0.0075746018667754815,0.11469594594594594,0.03317496183745225,0.9183018353993893,0.020347803096934673,0.24555180180180183,0.03449969085679394,0.82324250028494,0.0309317841450622,"[np.float64(2887.5), np.float64(2198.5), np.float64(234.0), np.float64(324.0)]"
"HistGradientBoosting, native NaN (recommended)",0.6609300696749842,0.01234954853003754,0.21181697946920322,0.027024508160958374,0.799203667953668,0.059996694607459045,0.42008005362665723,0.035870301614219446,0.13128429882216264,0.0037740239688486455,0.1802123552123552,0.10188276987345414,0.9238084199260894,0.06664128175118518,0.2769546332046332,0.08027044922444947,0.8525324879793994,0.045844644593672206,"[np.float64(2136.5), np.float64(2949.5), np.float64(112.0), np.float64(446.0)]"
Negative control: assay count alone,0.509707322631708,0.021809043475947844,0.11114372020552252,0.012138125118180704,0.06812258687258686,0.026838587988785488,0.9686380644949416,0.011266203265815818,0.19646255604576254,0.07102162845251266,0.07258687258687259,0.025864242274510483,0.9637216436493172,0.012420414336847426,0.07258687258687259,0.025864242274510483,0.9637216436493172,0.012420414336847426,"[np.float64(4926.5), np.float64(159.5), np.float64(520.0), np.float64(38.0)]"
