model,n,auroc,auroc_sd,ap,sens_at_spec90,sens_at_spec80,sens_at_05,threshold,n_features,prevalence
"C   completeness>=0.06: 24 feats, n=242, pos=43",242,0.8703400997150996,0.06780501555769863,0.6870691259327153,0.6333333333333333,0.7236111111111112,0.6444444444444445,0.06,24,0.17768595041322313
"C   completeness>=0.08: 20 feats, n=420, pos=59",420,0.8708805376827637,0.026590322057050735,0.5815307339352298,0.5772727272727272,0.7962121212121211,0.6522727272727273,0.08,20,0.14047619047619048
"C   completeness>=0.10: 18 feats, n=598, pos=81",598,0.8629380910084347,0.037369828762192726,0.5991864379973417,0.6055147058823529,0.7591911764705882,0.6363970588235294,0.1,18,0.1354515050167224
"C   completeness>=0.15: 4 feats, n=5644, pos=558",5644,0.6344613538300297,0.016949965841555146,0.18177806262878993,0.22669723294723293,0.3502895752895753,0.7167792792792793,0.15,4,0.09886605244507442
"C   completeness>=0.20: 4 feats, n=5644, pos=558",5644,0.6344613538300297,0.016949965841555146,0.18177806262878993,0.22669723294723293,0.3502895752895753,0.7167792792792793,0.2,4,0.09886605244507442
"C   completeness>=0.30: 4 feats, n=5644, pos=558",5644,0.6344613538300297,0.016949965841555146,0.18177806262878993,0.22669723294723293,0.3502895752895753,0.7167792792792793,0.3,4,0.09886605244507442
